"","pcnm_keep_full","temp_scaled8.5","sal_scaled8.5"
"1",-0.0311614274227795,-0.451463586881927,-0.522363384199117
"19",-0.0311544742096131,0.482321424915461,0.958217719250326
"37",-0.0311605640874708,0.0154289190167668,-0.6868723956935
"56",0.0571237552272664,0.0154289190167668,0.958217719250326
"76",-0.0311623996903827,-0.918356092780621,-0.522363384199117
"85",0.0187177867599016,0.482321424915461,-0.851381407187882
"104",-0.0311614134490313,-2.3190336104767,-0.522363384199117
"124",-0.0311535836566245,0.949213930814155,-0.6868723956935
"143",-0.0311604690812837,-1.85214110457801,-0.6868723956935
"163",0.0185601305508607,-0.918356092780621,-0.522363384199117
"180",0.018797623538472,0.949213930814155,-0.6868723956935
"200",-0.0311401410823317,0.0154289190167668,1.94527178821662
"220",0.0571234321762995,0.482321424915461,1.45174475373347
"224",0.0571235788139588,0.949213930814155,0.464690684767178
"242",-0.0310822815487457,-0.451463586881927,-0.851381407187882
"261",0.0571078244499006,0.482321424915461,0.958217719250326
"279",-0.031161701083248,-0.451463586881927,-0.6868723956935
"295",0.0187177867599017,-0.451463586881927,-0.851381407187882
"314",-0.0311625769557623,1.41610643671285,-0.522363384199117
"334",-0.031161055477605,0.0154289190167668,-0.6868723956935
"349",0.0552294458982053,0.949213930814155,1.78076277672224
"369",-0.0270513088831922,1.41610643671285,0.135672661778413
"388",-0.0311541778662811,0.949213930814155,-0.6868723956935
"407",-0.031138629085114,0.482321424915461,1.78076277672224
"426",0.0179551982426091,-1.38524859867931,-0.6868723956935
"435",-0.0311535210114611,0.482321424915461,-0.357854372704734
"455",-0.0311499204188284,0.0154289190167668,-0.6868723956935
"472",0.057123765453108,0.482321424915461,-0.357854372704734
"491",-0.0311486266627422,0.949213930814155,1.28723574223909
"504",0.0185601305508609,-2.7859261163754,-0.6868723956935
"521",-0.0311623161152824,-0.918356092780621,-0.522363384199117
"541",-0.0311013669655083,0.0154289190167668,-0.851381407187882
"561",0.0571233792585077,0.949213930814155,1.12272673074471
"580",-0.0308750411787812,-1.85214110457801,-0.522363384199117
"600",-0.0311485250821464,0.0154289190167668,-0.6868723956935
"619",0.0571232815523613,0.482321424915461,1.78076277672224
"639",0.0571073501497517,0.949213930814155,-0.851381407187882
"659",0.0571232340785158,-0.451463586881927,2.43879882269977
"679",0.0186386252746289,0.0154289190167668,-0.522363384199117
