"","tank","mean_temp","min_temp","max_temp","med_temp","sd_temp"
"1","A1",20.0156771811542,16.04197265625,24.193046875,20.117509765625,1.71195214337288
"2","A2",19.9674754033708,15.999072265625,24.62205078125,20.117509765625,1.72075764002814
"3","A3",25.8025284445741,15.827470703125,32.34412109375,26.123564453125,2.39952191130577
"4","A4",25.7714604437466,16.428076171875,34.23173828125,26.16646484375,2.47389489451107
"5","B1",26.0011390003983,16.1277734375,32.08671875,26.252265625,2.31811311504092
"6","B2",25.8957324470566,16.55677734375,31.700615234375,26.123564453125,2.36168510535853
"7","B3",25.8228915576884,16.04197265625,32.00091796875,26.0806640625,2.41059776241807
"8","B4",25.5085056840722,16.21357421875,31.4003125,25.7374609375,2.46520222039827
"9","C1",20.083437929056,16.084873046875,25.9090625,20.2462109375,1.69711366532745
"10","C2",20.0892158453973,15.484267578125,26.85287109375,20.16041015625,1.77596359359364
"11","C3",20.0545752801425,13.939853515625,24.150146484375,20.203310546875,1.76645439081663
"12","C4",20.2176319507076,16.170673828125,27.02447265625,20.2462109375,1.99822095675236
