"","site","offset_full","offset_MLL","order_full","order_MLL"
"1","AHU",3.66847210303032e-05,0.000483768747107459,17,24
"2","ALA",2.86993823657772e-05,0.00011065536335922,14,9
"3","BAD",3.80001463953513e-05,0.000178131290452556,18,10
"4","BAR",9.77969373146721e-05,0.000422301666071574,33,21
"5","BJN",0.000147175994874486,0.000646189653190962,35,32
"6","BJO",6.54047977591205e-05,0.000646189653190962,29,33
"7","BLA",4.97345143954752e-05,0.000646189653190962,25,34
"8","BUR",0.000251014861900187,0.000584848109608149,36,29
"9","EKO",3.82896076566315e-05,0.000580066480497468,19,28
"10","FUR",1.10929477644389e-05,0.000210802287048178,4,12
"11","GAL",7.55582531053114e-05,0.00101479250949081,30,35
"12","GAS",1.61109656202686e-05,0.000464715790018019,7,23
"13","GOT",5.87206831965681e-06,1.65895636017576e-05,1,1
"14","GRO",8.52584674209464e-06,4.67641079796898e-05,3,7
"15","HAN",0.000322559205142274,0.0108151656877825,38,37
"16","HOG",1.62055665111083e-05,3.61960952544106e-05,8,2
"17","HOR",4.80724704319179e-05,0.000601356798614068,24,30
"18","ING",0.000819672363726527,0.0288941846122625,39,39
"19","KAL",5.63137021123092e-05,0.000508388551170337,28,25
"20","KAR",1.84717949528045e-05,0.000420893855976127,10,20
"21","KAV",5.20757179824432e-05,0.000450109127733633,26,22
"22","KIE",9.64458655333454e-05,0.00118738246980111,32,36
"23","KLI",2.56023836840353e-05,0.000579381993375309,13,27
"24","KOD",2.08789809896685e-05,0.000558983842279869,11,26
"25","KRA",3.43496797909414e-05,0.000379055106748253,15,18
"26","KUR",4.08998371312232e-05,0.000398566780798619,20,19
"27","LJU",4.22918361968296e-05,0.000645562486805384,21,31
"28","LOM",1.76571944446474e-05,0.000371458408765919,9,17
"29","NOV",4.54394176391322e-05,3.84980292971615e-05,23,3
"30","NYN",5.33466552988073e-05,3.84980292971615e-05,27,4
"31","OSK",0.000123972125058063,3.84980292971615e-05,34,5
"32","RAU",1.24193664238397e-05,3.84980292971615e-05,5,6
"33","SBR",2.34688240214538e-05,0.000200788043427911,12,11
"34","SKI",7.9117351438863e-05,0.000225312083062657,31,13
"35","SLI",4.32667440244116e-05,0.000225312083062657,22,14
"36","STE",7.35063807695668e-06,8.46399193224868e-05,2,8
"37","TAL",0.000287799389366138,0.0169195139004586,37,38
"38","VHA",1.37573677862147e-05,0.00023358153903122,6,15
"39","YST",3.44994052282547e-05,0.000320642653812316,16,16
